dates,satname,nzd0334-0000,nzd0334-0001,nzd0334-0002,nzd0334-0003,nzd0334-0004,nzd0334-0005,nzd0334-0006,nzd0334-0007,nzd0334-0008,nzd0334-0009,nzd0334-0010,nzd0334-0011,nzd0334-0012,nzd0334-0013,nzd0334-0014,nzd0334-0015,nzd0334-0016,nzd0334-0017,nzd0334-0018,nzd0334-0019,nzd0334-0020,nzd0334-0021,nzd0334-0022
2006-02-12 21:51:08.090000,L5,309.23,305.46,324.87,332.05,343.34,343.76,340.52,346.28,340.38,343.36,341.80,348.43,355.73,349.79,342.69,346.08,365.51,363.49,363.98,377.68,381.07,321.13,184.19
2006-02-21 21:45:32.507000,L5,351.94,378.75,381.08,382.44,370.16,368.28,373.53,372.05,362.77,365.16,363.88,366.97,369.97,366.38,362.39,360.82,369.80,378.70,369.97,369.40,364.81,362.77,374.42
2006-02-28 21:51:28.213000,L5,407.52,406.12,399.40,398.32,395.88,377.73,367.77,370.29,384.51,381.51,383.31,376.29,381.07,379.84,383.10,390.74,383.63,383.98,376.18,378.22,369.30,378.62,381.25
2006-03-09 21:45:52.499000,L5,404.69,416.53,411.93,417.02,416.46,409.28,398.33,392.25,374.65,382.41,378.44,392.80,387.26,386.79,395.62,433.95,399.72,406.16,392.02,385.41,370.71,386.86,390.72
2006-04-26 21:46:44.812000,L5,361.96,380.70,396.55,383.27,379.37,371.39,371.86,372.45,372.83,379.86,366.47,370.07,375.31,373.74,380.72,432.87,407.79,419.30,390.75,389.86,384.54,448.75,472.94
2006-06-13 21:47:25.691000,L5,361.08,377.98,389.91,383.27,373.89,460.64,,,,536.78,519.89,422.45,389.33,380.36,374.42,375.25,374.20,394.80,379.78,377.56,368.01,377.80,389.69
2006-06-29 21:47:40.526000,L5,,,,,203.09,209.99,228.79,255.59,215.89,238.97,,315.22,315.12,288.43,233.29,216.01,212.67,227.58,217.82,,213.04,256.49,300.26
2006-07-15 21:47:54.076000,L5,,,,,178.89,226.59,280.07,304.37,313.72,315.66,304.96,325.83,328.11,264.58,235.82,207.01,205.55,229.13,253.34,,,,
2006-07-22 21:53:46.375000,L5,342.78,342.62,371.48,386.03,375.24,373.53,379.93,382.46,375.65,375.77,371.76,367.71,378.52,381.67,399.52,,391.07,411.75,400.77,381.20,370.64,410.00,410.25
2006-08-23 21:54:11.272000,L5,255.84,259.90,227.71,222.62,269.83,293.70,301.18,304.22,296.09,297.91,298.51,315.80,319.44,292.74,253.37,233.81,224.72,246.39,275.25,327.74,311.47,323.12,329.48
2006-09-01 21:48:31.320000,L5,366.86,350.97,370.99,401.17,497.12,453.64,485.89,467.25,423.69,417.34,386.50,396.58,405.47,386.46,381.61,381.94,385.68,391.13,387.18,383.04,381.31,377.76,396.85
2006-09-17 21:48:42.941000,L5,337.63,346.82,365.69,372.92,379.89,367.65,366.37,361.86,365.02,371.17,358.68,363.95,370.47,370.45,366.93,373.53,374.25,380.61,375.21,372.78,364.17,367.67,379.61
2006-10-10 21:54:44.695000,L5,355.58,372.44,470.24,509.23,487.17,483.69,395.51,464.76,486.78,497.47,386.00,381.20,385.12,370.60,367.13,374.93,373.82,395.62,427.77,389.25,378.59,381.57,392.60
2006-11-20 21:49:20.699000,L5,433.64,464.83,457.15,399.23,379.66,370.26,375.43,369.23,375.48,367.66,383.69,389.07,391.62,391.31,399.55,403.14,388.16,400.34,379.91,379.34,367.81,374.04,379.53
2006-12-06 21:49:29.117000,L5,395.56,439.81,448.42,423.32,403.05,420.53,414.01,410.97,393.60,389.59,401.32,388.86,391.04,390.94,390.16,389.77,386.99,400.34,393.07,382.61,370.66,383.04,387.34
2006-12-29 21:55:50.726000,L5,402.22,402.76,399.27,391.85,390.84,381.83,366.47,371.65,382.60,386.87,388.77,382.98,373.35,369.56,367.64,355.17,356.54,364.64,360.74,361.35,352.83,353.12,364.66
2007-02-08 21:49:50.615000,L5,375.69,395.07,398.89,390.25,388.88,383.07,370.01,375.34,368.45,387.50,372.92,375.75,380.18,371.73,368.52,368.78,378.01,377.92,373.75,370.51,359.69,363.55,371.14
2011-01-25 21:50:35.036000,L5,357.34,364.42,371.88,391.41,421.18,394.84,395.12,394.11,433.50,435.22,413.13,376.67,387.55,371.55,369.30,366.66,380.03,400.92,387.64,382.53,369.63,376.84,387.18
2011-10-24 21:48:35.845000,L5,291.54,290.41,238.14,311.61,312.85,322.94,314.04,320.92,331.20,340.06,334.09,344.48,347.99,338.79,325.44,310.97,330.34,344.87,327.76,347.62,329.14,344.85,359.91
