dates,satname,nzd0157-0000,nzd0157-0001,nzd0157-0002,nzd0157-0003,nzd0157-0004,nzd0157-0005,nzd0157-0006,nzd0157-0007,nzd0157-0008,nzd0157-0009,nzd0157-0010,nzd0157-0011,nzd0157-0012,nzd0157-0013,nzd0157-0014
2014-02-09 22:06:33.299000,L8,337.12,336.14,322.65,325.56,324.08,314.58,320.64,320.49,322.13,316.70,324.62,316.61,297.15,317.16,294.07
2014-02-09 22:06:57.254000,L8,336.05,335.49,322.10,324.19,324.70,313.65,319.89,319.02,320.60,315.21,324.05,315.30,295.58,292.24,293.79
2014-02-25 22:06:20.497000,L8,,,298.23,306.12,294.79,293.88,308.11,303.64,308.46,303.16,311.23,303.30,249.45,,
2014-02-25 22:06:44.447000,L8,,,,,,,262.86,285.16,298.35,282.85,271.18,293.17,,,
2014-03-29 22:05:52.007000,L8,335.92,326.85,320.34,324.14,317.12,313.07,318.07,313.78,318.93,313.96,321.26,313.03,291.25,307.54,295.02
2014-03-29 22:06:15.961000,L8,339.16,331.83,322.57,327.88,320.73,314.86,319.50,315.71,321.87,316.49,323.41,315.38,294.63,311.61,296.38
2014-04-30 22:05:22.578000,L8,286.94,298.00,304.34,305.23,299.06,298.33,294.53,292.30,303.60,289.60,271.58,297.80,,,
2014-04-30 22:05:46.536000,L8,315.64,304.14,308.60,309.59,302.57,302.26,305.95,300.41,306.68,297.08,304.17,302.02,267.73,247.76,283.84
2014-05-16 22:05:09.831000,L8,318.56,301.64,306.52,309.23,302.10,301.22,301.32,298.94,306.20,295.20,304.09,300.43,262.14,242.18,
2014-06-17 22:05:20.950000,L8,346.42,326.14,327.26,329.23,318.80,319.91,319.26,317.76,322.45,317.40,320.75,316.84,306.39,261.46,289.25
2014-06-17 22:05:44.904000,L8,333.41,315.63,317.41,320.58,309.61,310.70,314.82,309.33,314.16,308.08,313.91,308.60,275.95,248.68,281.75
2014-08-04 22:05:38.545000,L8,309.42,302.57,221.41,273.61,263.42,241.09,306.76,280.07,299.55,295.17,298.69,301.60,235.27,243.96,283.65
