dates,satname,nzd0008-0000,nzd0008-0001,nzd0008-0002,nzd0008-0003,nzd0008-0004,nzd0008-0005,nzd0008-0006,nzd0008-0007,nzd0008-0008,nzd0008-0009,nzd0008-0010,nzd0008-0011,nzd0008-0012,nzd0008-0013,nzd0008-0014,nzd0008-0015,nzd0008-0016,nzd0008-0017,nzd0008-0018,nzd0008-0019,nzd0008-0020,nzd0008-0021,nzd0008-0022,nzd0008-0023,nzd0008-0024,nzd0008-0025,nzd0008-0026,nzd0008-0027,nzd0008-0028,nzd0008-0029,nzd0008-0030,nzd0008-0031,nzd0008-0032,nzd0008-0033
2018-04-07 22:16:59.037000,L8,287.20,224.62,255.65,,195.52,209.79,247.67,244.59,223.96,195.30,235.49,,,,,,,,,,,,,,240.27,241.36,228.22,192.68,224.18,249.12,250.40,230.05,231.78,251.37
2018-06-10 22:16:26.226000,L8,283.81,264.28,252.49,251.14,257.44,273.14,272.33,263.19,218.93,243.26,256.74,291.92,257.52,290.00,248.15,302.83,275.70,272.31,,237.50,279.87,268.77,309.25,288.43,250.84,304.97,289.39,211.72,248.21,339.64,257.78,254.07,241.27,294.71
2018-06-26 22:16:36.823000,L8,270.66,210.87,192.39,,,,,,,,,239.60,212.70,218.35,,,,,,,,,,,,,,,,,,,,
2018-08-29 22:17:08.269000,L8,281.37,252.47,237.30,225.44,238.36,224.11,232.07,226.68,200.01,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01 22:17:30.804000,L8,295.55,276.26,261.09,258.21,263.02,263.98,264.71,255.54,248.87,249.79,257.46,271.17,253.42,277.86,240.56,252.50,273.65,264.88,203.16,234.12,273.50,236.20,261.11,249.74,241.17,243.47,247.95,375.41,338.42,390.34,250.57,247.50,233.38,259.36
2018-11-17 22:17:31.986000,L8,291.79,273.01,258.50,248.35,246.14,246.05,251.31,242.05,216.47,200.58,252.32,265.19,246.26,275.84,238.54,226.70,269.04,260.13,197.22,,251.64,225.05,263.38,237.19,233.32,229.39,224.06,188.28,213.39,247.01,238.43,241.47,233.48,245.87
2018-12-03 22:17:30.217000,L8,302.32,300.40,264.62,258.27,260.71,262.35,264.56,253.58,237.67,203.94,256.70,272.51,252.08,279.42,240.35,248.09,277.10,261.45,206.75,232.32,251.88,234.46,261.49,246.70,238.92,244.46,233.78,190.67,225.86,260.79,249.90,247.53,234.68,258.14
2018-12-19 22:17:28.292000,L8,295.18,275.93,264.64,261.12,260.19,265.86,265.07,255.22,241.80,247.17,257.19,274.63,252.26,281.12,260.97,253.33,277.94,261.34,206.37,240.83,267.46,233.91,267.80,268.52,245.80,267.34,247.97,193.67,232.35,272.70,255.67,250.21,234.80,257.44
2019-01-04 22:17:27.803000,L8,299.21,282.90,260.14,252.35,261.35,263.60,260.73,253.14,231.90,197.67,252.91,263.35,251.26,274.54,252.01,246.60,272.34,259.65,198.19,235.19,261.35,229.55,265.55,244.16,241.31,251.89,244.37,192.20,230.75,250.36,245.52,241.61,229.64,256.81
2019-01-20 22:17:24.544000,L8,320.14,304.29,296.64,298.32,296.11,306.37,316.20,309.88,310.12,306.75,307.34,321.70,338.70,330.85,325.79,333.99,339.59,333.51,336.67,340.63,349.92,336.22,335.66,339.03,337.55,317.66,294.59,283.44,286.37,297.64,288.92,324.94,282.81,291.53
2019-02-05 22:17:21.574000,L8,283.20,263.49,254.36,242.53,248.90,254.76,258.17,247.14,215.05,187.60,247.42,261.41,243.25,271.32,228.80,227.64,261.52,255.41,,,,,,,,,,,209.77,171.53,238.33,238.24,226.19,240.53
2019-04-26 22:16:59.330000,L8,280.98,260.72,247.53,234.75,244.00,257.62,250.47,246.31,209.37,180.60,222.53,249.43,234.76,240.00,218.49,206.94,225.17,218.54,,,,,,,,,,,,,,,,
2019-05-12 22:17:08.680000,L8,295.92,277.39,261.40,261.80,255.62,271.80,269.33,264.47,240.00,251.67,260.23,277.63,258.81,287.86,246.22,287.86,302.14,268.71,203.73,237.88,282.39,269.79,270.10,271.90,252.16,262.08,248.91,214.47,244.13,262.81,266.31,257.13,245.29,256.19
2019-05-28 22:17:17.913000,L8,297.76,278.84,270.65,269.66,265.48,276.03,274.78,268.10,277.64,250.55,260.85,287.49,261.48,291.93,300.12,269.41,310.62,272.01,204.04,251.42,289.79,270.45,272.23,280.75,263.62,273.29,253.77,215.75,248.42,291.14,274.44,260.09,248.99,257.87
2019-06-29 22:17:29.720000,L8,291.17,275.93,268.72,266.64,261.13,275.72,272.25,261.92,218.60,248.18,258.55,286.19,258.85,292.78,302.88,305.07,290.07,284.05,296.25,242.94,290.85,310.35,264.22,290.05,272.63,259.42,255.85,209.74,283.81,295.48,381.56,276.19,246.67,253.56
2019-07-15 22:17:32.572000,L8,304.74,296.23,284.08,281.92,303.17,279.66,323.34,269.67,316.39,318.11,300.99,288.20,283.21,294.46,290.11,299.50,274.32,266.88,289.41,282.52,295.01,343.98,340.52,302.21,321.13,310.67,298.11,290.73,549.66,553.17,523.81,281.57,267.28,278.49
2019-08-16 22:17:44.396000,L8,269.48,,,,,,,,,164.40,214.76,240.67,221.80,224.88,213.99,195.32,217.31,205.92,,,,,,,,,,,,,226.20,218.02,215.65,226.62
