dates,satname,nzd0109-0000,nzd0109-0001,nzd0109-0002,nzd0109-0003,nzd0109-0004,nzd0109-0005,nzd0109-0006,nzd0109-0007,nzd0109-0008,nzd0109-0009,nzd0109-0010,nzd0109-0011,nzd0109-0012,nzd0109-0013,nzd0109-0014,nzd0109-0015,nzd0109-0016
2017-08-03 22:11:47.949000,L8,251.36,257.06,279.80,189.14,282.19,306.24,189.11,307.76,311.84,313.06,262.33,288.83,294.89,295.64,301.00,309.41,311.03
2018-01-10 22:11:54.118000,L8,199.53,,,,283.52,268.88,203.25,238.45,316.28,309.20,294.95,258.33,211.56,288.37,289.97,313.12,317.45
2018-01-26 22:11:45.215000,L8,,,,,,,,,312.87,307.82,194.91,263.73,290.50,277.33,291.67,209.17,
2018-03-31 22:11:15.901000,L8,318.35,,,,198.66,313.64,310.08,313.68,318.24,317.02,294.40,300.59,303.95,301.35,296.99,314.31,316.93
2018-04-16 22:11:06.667000,L8,,258.87,,,,,,,,,,,,,,,
2018-05-02 22:10:57.873000,L8,312.89,310.25,281.38,191.43,198.41,270.65,,308.49,312.77,314.21,186.92,262.54,295.21,,278.26,307.71,227.70
2018-07-05 22:10:54.795000,L8,313.35,290.68,200.66,209.40,285.45,262.18,311.84,277.37,293.51,313.93,,267.51,293.87,298.74,295.20,310.44,306.13
2018-08-06 22:11:10.291000,L8,,254.38,250.91,194.81,281.41,261.52,,,,,,285.47,292.35,296.16,294.66,305.16,307.78
2018-09-07 22:11:24.397000,L8,310.24,310.68,289.33,267.09,284.71,268.67,253.43,308.06,312.03,311.43,288.36,292.34,297.19,299.81,303.21,311.31,314.13
2018-10-25 22:11:42.546000,L8,,,,,,,,,238.18,312.21,274.59,170.00,226.54,295.57,296.54,199.27,
2019-02-14 22:11:33.473000,L8,,,,,282.52,268.35,,308.11,312.39,310.99,188.44,301.04,307.01,284.93,287.80,312.79,316.87
2019-03-02 22:11:29.304000,L8,,252.21,272.15,,280.25,255.47,,304.96,309.64,308.71,183.40,299.35,302.58,285.64,290.66,312.05,314.06
2019-06-22 22:11:40.996000,L8,259.97,309.96,279.86,268.49,286.73,269.33,250.34,277.25,295.37,313.90,285.67,299.71,,,,,
2019-07-24 22:11:48.987000,L8,,,205.58,195.27,281.31,266.42,196.42,,297.62,216.66,,285.74,294.32,297.76,297.05,204.92,180.59
2019-08-09 22:11:55.358000,L8,,252.66,256.60,188.31,280.61,264.82,,,310.34,310.91,,285.90,292.81,296.97,295.77,199.66,304.70
2020-01-16 22:11:59.041000,L8,,,,,281.79,264.06,,,311.48,308.76,,,,,,,312.16
2020-02-01 22:11:53.781000,L8,196.27,259.64,283.58,195.51,282.38,259.67,,306.54,,,294.36,300.08,,,,,315.47
2020-04-21 22:11:21.823000,L8,,257.81,280.63,188.89,281.61,269.03,,263.98,293.21,310.57,,295.85,294.27,294.28,300.60,211.38,312.25
2020-05-07 22:11:12.613000,L8,,261.48,285.59,265.55,283.88,308.47,232.99,244.81,293.16,315.82,294.81,312.44,304.43,321.22,303.89,310.10,311.21
2020-06-08 22:11:24.028000,L8,198.58,256.98,278.60,268.15,288.27,273.69,204.13,314.73,314.90,315.50,289.26,272.95,303.08,307.51,303.63,305.41,303.62
2020-07-10 22:11:39.723000,L8,,,199.72,188.14,282.97,269.54,,307.40,313.71,313.10,,293.86,290.99,297.34,300.13,201.26,292.90
2020-07-26 22:11:44.648000,L8,,255.65,275.01,266.42,284.92,314.82,199.01,274.19,292.06,316.21,,293.13,293.76,301.89,304.03,303.77,304.92
2020-08-27 22:11:56.368000,L8,,254.57,282.99,,193.45,265.10,197.98,308.30,311.04,311.31,273.35,,,,,,
2020-12-01 22:12:09.987000,L8,,,,,,,,,,,,289.86,292.44,297.77,297.59,208.08,309.06
2021-02-03 22:11:56.237000,L8,,256.97,234.71,188.52,283.24,268.86,,272.32,294.38,223.21,292.71,297.30,296.16,289.96,298.97,230.82,311.30
2021-02-19 22:11:51.945000,L8,251.13,303.75,275.09,,281.37,269.97,,308.09,312.92,217.07,294.27,295.36,292.57,299.94,301.51,312.89,315.09
2021-04-24 22:11:25.382000,L8,,,201.48,196.02,283.31,270.23,,272.64,294.31,309.71,292.88,293.03,292.98,302.30,300.81,247.63,310.67
2021-05-26 22:11:31.065000,L8,194.45,260.10,270.29,197.40,280.11,273.53,,307.69,314.14,310.64,,292.35,293.42,303.33,304.42,306.57,304.03
2021-06-11 22:11:38.046000,L8,319.93,315.58,309.77,242.00,291.79,316.53,305.94,311.96,315.08,208.51,237.15,,,,,,
2021-07-13 22:11:43.513000,L8,,,208.18,264.06,285.05,315.33,,311.39,314.87,314.48,284.44,298.10,297.90,304.45,301.68,308.17,302.16
2021-11-06 22:12:48.299000,L9,259.54,306.00,288.91,200.65,284.27,271.21,199.76,308.27,312.82,310.97,291.88,296.31,298.86,304.60,303.66,244.64,260.22
2021-11-18 22:12:08.776000,L8,283.00,260.48,304.66,275.86,288.85,275.33,238.35,270.00,295.02,311.75,294.03,301.47,,,,,
2022-01-13 22:12:02.740000,L9,,251.50,209.47,199.49,279.96,269.16,197.20,272.10,310.12,311.43,182.40,171.62,295.16,293.28,300.51,307.73,316.18
2022-01-21 22:11:59.917000,L8,,,,,279.60,265.61,,,313.94,307.09,,296.83,293.91,285.61,291.53,308.66,312.17
2022-01-29 22:12:05.530000,L9,,,,,,,,,295.96,310.59,293.16,298.00,297.32,279.61,284.41,310.42,314.02
2022-02-14 22:12:01.049000,L9,184.25,251.69,230.39,193.37,280.78,269.12,199.70,267.34,293.91,311.98,295.79,298.17,295.27,296.29,300.75,256.21,318.66
2022-02-22 22:11:50.626000,L8,200.88,251.39,283.19,265.48,283.60,268.09,,310.47,313.59,313.65,295.25,300.41,295.42,287.85,301.47,310.41,312.05
2022-03-18 22:11:49.046000,L9,266.34,310.40,236.80,207.22,286.81,317.01,208.46,317.04,318.60,318.19,282.60,304.22,302.64,303.78,304.98,308.05,311.81
2022-04-03 22:11:45.362000,L9,197.86,263.50,278.61,196.38,280.36,270.82,,,296.18,310.05,,294.49,294.67,295.81,297.19,214.49,307.15
2022-05-05 22:11:31.114000,L9,265.94,294.44,281.71,263.55,285.34,272.76,232.53,313.52,318.23,314.93,293.49,298.23,299.46,307.03,300.93,191.21,
2022-07-08 22:11:39.226000,L9,,247.54,196.54,191.23,279.94,262.04,,309.63,298.59,311.42,,,,,,,274.32
2022-07-16 22:12:03.012000,L8,,254.95,285.17,256.47,285.89,272.02,232.10,204.55,247.69,315.53,274.07,280.40,297.60,305.84,301.90,282.61,303.22
2022-09-10 22:12:03.656000,L9,260.18,261.65,202.59,193.20,280.44,265.24,,306.64,225.77,220.38,277.97,293.24,295.58,300.62,294.41,209.07,
2023-01-16 22:12:10.212000,L9,197.09,254.56,262.03,,,,,303.83,313.84,307.27,293.10,267.16,188.85,300.93,295.67,246.44,317.71
2023-02-17 22:12:13.542000,L9,,,,195.78,275.31,258.62,,,,,,285.24,284.64,283.36,285.60,212.94,
2023-02-25 22:11:52.258000,L8,,,,,,,,,310.76,302.44,,286.90,291.99,295.01,293.68,291.81,251.90
2023-03-13 22:11:47.152000,L8,314.56,309.70,281.58,194.91,277.99,267.14,,307.87,310.76,,,289.25,292.22,291.03,294.16,238.77,310.43
2023-03-21 22:11:55.188000,L9,201.20,257.58,237.01,195.57,279.70,268.29,,307.30,311.09,292.75,,286.93,291.96,288.79,292.65,214.32,311.77
2023-03-29 22:11:37.049000,L8,,,,,,,,301.82,310.57,,,265.78,289.11,282.99,284.85,203.52,310.76
2023-05-16 22:11:04.371000,L8,,,,191.30,281.59,267.61,,,312.24,300.22,,287.35,290.56,293.95,296.29,205.67,308.78
2023-05-24 22:11:17.213000,L9,,255.67,276.79,,286.00,272.34,,309.92,315.03,311.09,277.73,291.23,293.92,294.26,294.95,241.13,310.11
2023-06-09 22:11:12.914000,L9,,,,,275.94,269.10,,302.89,315.98,306.18,,,,,,,304.35
2023-06-25 22:11:08.216000,L9,,,198.06,189.75,276.32,265.31,,,229.42,266.91,,286.17,289.48,286.69,287.23,204.31,300.89
2023-07-27 22:11:26.959000,L9,199.92,253.72,233.53,263.60,283.39,266.59,,274.97,296.10,277.07,268.77,285.06,291.24,290.45,293.05,205.52,307.85
2023-08-28 22:11:44.258000,L9,327.74,321.86,328.69,308.21,299.42,323.49,320.77,321.70,326.22,328.19,281.21,210.41,190.72,348.83,293.70,423.92,336.74
2023-09-13 22:11:53.459000,L9,,,,,,,,,,,,,,279.62,253.15,205.95,313.08
2023-11-08 22:11:57.030000,L8,,,,,,,,,,,,286.52,289.81,294.10,290.52,,313.90
2024-01-03 22:12:03.955000,L9,233.52,265.01,272.90,199.08,284.67,269.20,,,295.17,294.13,177.23,287.60,258.38,294.05,288.79,305.13,313.26
2024-01-11 22:11:56.446000,L8,323.50,321.69,320.29,285.74,294.80,317.33,298.07,319.06,323.33,308.88,281.54,,,,,,
2024-02-04 22:12:07.739000,L9,201.86,246.07,263.45,193.91,282.11,267.80,,305.86,251.21,284.51,289.98,285.85,288.98,295.00,290.27,306.34,316.97
2024-02-28 22:11:48.270000,L8,,314.91,286.61,264.33,290.12,315.38,314.21,313.67,317.59,314.72,298.65,328.85,297.34,300.78,302.16,312.67,317.72
2024-03-07 22:12:00.069000,L9,263.80,308.84,284.59,,,,,269.36,294.82,300.66,286.66,,,,,,
2024-03-15 22:11:37.973000,L8,,274.27,315.32,276.80,291.55,319.06,317.84,318.89,318.68,316.79,296.75,264.03,296.40,301.31,304.81,312.12,316.70
